
Total memory size: 393216 B, 384 KiB, 0 MiB

 Step    Time, s Interact/s  GFLOP/s
    0  8.331e+00  3.222e+07      0.5 (warm up)
    1  8.118e+00  3.307e+07      0.6 (warm up)
    2  8.152e+00  3.293e+07      0.6 (warm up)
    3  8.121e+00  3.305e+07      0.6 
    4  8.119e+00  3.306e+07      0.6 
    5  8.109e+00  3.310e+07      0.6 
    6  8.189e+00  3.278e+07      0.6 
    7  8.190e+00  3.278e+07      0.6 
    8  8.110e+00  3.310e+07      0.6 
    9  8.111e+00  3.309e+07      0.6 
   10  8.194e+00  3.276e+07      0.6 
   11  8.183e+00  3.281e+07      0.6 
   12  8.116e+00  3.308e+07      0.6 
-----------------------------------------------------
Average performance:             0.6 +- 0.0 GFLOP/s
-----------------------------------------------------
