
Total memory size: 393216 B, 384 KiB, 0 MiB

 Step    Time, s Interact/s  GFLOP/s
    0  1.058e+00  2.537e+08      4.3 (warm up)
    1  8.190e-01  3.278e+08      5.6 (warm up)
    2  8.198e-01  3.274e+08      5.6 (warm up)
    3  8.194e-01  3.276e+08      5.6 
    4  8.206e-01  3.271e+08      5.6 
    5  8.188e-01  3.278e+08      5.6 
    6  8.178e-01  3.282e+08      5.6 
    7  8.174e-01  3.284e+08      5.6 
    8  8.175e-01  3.284e+08      5.6 
    9  8.182e-01  3.281e+08      5.6 
   10  8.182e-01  3.281e+08      5.6 
   11  8.178e-01  3.282e+08      5.6 
   12  8.169e-01  3.286e+08      5.6 
-----------------------------------------------------
Average performance:             5.6 +- 0.0 GFLOP/s
-----------------------------------------------------
