
Total memory size: 393216 B, 384 KiB, 0 MiB

 Step    Time, s Interact/s  GFLOP/s
    0  8.790e+00  3.054e+07      0.5 (warm up)
    1  8.560e+00  3.136e+07      0.5 (warm up)
    2  8.561e+00  3.136e+07      0.5 (warm up)
    3  8.557e+00  3.137e+07      0.5 
    4  8.628e+00  3.111e+07      0.5 
    5  8.555e+00  3.138e+07      0.5 
    6  8.614e+00  3.116e+07      0.5 
    7  8.559e+00  3.136e+07      0.5 
    8  8.556e+00  3.137e+07      0.5 
    9  8.560e+00  3.136e+07      0.5 
   10  8.562e+00  3.135e+07      0.5 
   11  8.572e+00  3.131e+07      0.5 
   12  8.637e+00  3.108e+07      0.5 
-----------------------------------------------------
Average performance:             0.5 +- 0.0 GFLOP/s
-----------------------------------------------------
