
Total memory size: 393216 B, 384 KiB, 0 MiB

 Step    Time, s Interact/s  GFLOP/s
    0  8.368e+00  3.208e+07      0.5 (warm up)
    1  8.053e+00  3.334e+07      0.6 (warm up)
    2  8.078e+00  3.323e+07      0.6 (warm up)
    3  8.104e+00  3.312e+07      0.6 
    4  8.049e+00  3.335e+07      0.6 
    5  8.099e+00  3.314e+07      0.6 
    6  8.103e+00  3.313e+07      0.6 
    7  8.058e+00  3.331e+07      0.6 
    8  8.115e+00  3.308e+07      0.6 
    9  8.048e+00  3.335e+07      0.6 
   10  8.049e+00  3.335e+07      0.6 
   11  8.049e+00  3.335e+07      0.6 
   12  8.057e+00  3.332e+07      0.6 
-----------------------------------------------------
Average performance:             0.6 +- 0.0 GFLOP/s
-----------------------------------------------------
